"Date","Price","Open","High","Low","Vol.","Change %"
"10/08/2024","50.430","51.120","51.290","50.430","","-1.02%"
"10/07/2024","50.950","51.025","51.275","50.745","","0.18%"
"10/04/2024","50.860","51.160","51.310","50.910","","-0.24%"
"10/03/2024","50.980","51.080","51.255","50.955","","0.12%"
"10/02/2024","50.920","50.930","51.260","50.840","","0.30%"
"10/01/2024","50.770","51.110","51.285","50.830","","-0.33%"
"09/30/2024","50.940","51.275","51.450","51.010","","-0.37%"
"09/27/2024","51.130","51.180","51.480","50.875","","0.24%"
"09/26/2024","51.010","50.805","51.380","50.785","","0.73%"
"09/25/2024","50.640","51.280","51.625","50.755","","-0.92%"
"09/24/2024","51.110","50.810","51.285","50.760","","0.93%"
"09/23/2024","50.640","51.215","51.475","50.650","","-0.78%"
"09/20/2024","51.040","51.200","51.305","50.995","","0.02%"
"09/19/2024","51.030","50.975","51.575","50.750","","0.43%"
"09/18/2024","50.810","50.905","51.300","50.875","","0.16%"
"09/17/2024","50.730","51.155","51.160","50.890","","-0.49%"
"09/16/2024","50.980","50.905","51.180","50.885","","0.49%"
"09/13/2024","50.730","51.105","51.185","50.880","","-0.41%"
"09/12/2024","50.940","50.710","51.110","50.680","","0.79%"
"09/11/2024","50.540","50.740","50.970","50.660","","-0.08%"
"09/10/2024","50.580","50.835","51.080","50.720","","-0.18%"
"09/09/2024","50.670","50.930","51.475","50.830","","-0.20%"
"09/06/2024","50.770","51.170","51.740","50.855","","-0.47%"
"09/05/2024","51.010","51.100","51.565","50.885","","0.16%"
"09/04/2024","50.930","51.495","51.600","50.910","","-0.78%"
"09/03/2024","51.330","51.445","51.615","51.355","","0.08%"
"09/02/2024","51.290","51.315","51.610","51.230","","0.27%"
"08/30/2024","51.150","51.170","51.575","51.140","","0.27%"
"08/29/2024","51.010","51.335","51.595","51.070","","-0.31%"
"08/28/2024","51.170","51.615","51.625","51.270","","-0.54%"
"08/27/2024","51.450","51.465","52.440","51.455","","0.29%"
"08/26/2024","51.300","51.655","51.720","51.275","","-0.39%"
"08/23/2024","51.500","51.170","51.710","51.110","","0.98%"
"08/22/2024","51.000","51.400","51.445","50.765","","-0.45%"
"08/21/2024","51.230","51.375","51.510","51.155","","0.02%"
"08/20/2024","51.220","51.290","51.405","51.125","","0.20%"
"08/19/2024","51.120","50.965","51.300","50.750","","0.59%"
"08/16/2024","50.820","50.695","50.990","50.685","","0.59%"
"08/15/2024","50.520","50.880","50.895","50.585","","-0.37%"
"08/14/2024","50.710","50.950","51.040","50.770","","-0.14%"
"08/13/2024","50.780","50.725","50.985","50.585","","0.44%"
"08/12/2024","50.560","50.700","50.760","50.535","","0.04%"
"08/09/2024","50.540","50.555","50.775","50.520","","0.30%"
"08/08/2024","50.390","50.730","50.845","50.385","","-0.34%"
"08/07/2024","50.560","50.560","50.800","50.460","","0.34%"
"08/06/2024","50.390","50.820","50.870","50.425","","-0.51%"
"08/05/2024","50.650","51.060","51.155","50.455","","-0.37%"
"08/02/2024","50.840","50.320","51.085","50.285","","1.34%"
"08/01/2024","50.170","50.505","50.550","50.270","","-0.34%"
"07/31/2024","50.340","50.450","50.615","50.385","","0.10%"
"07/30/2024","50.290","50.370","50.605","50.340","","0.18%"
"07/29/2024","50.200","50.865","50.900","50.285","","-0.91%"
"07/26/2024","50.660","50.765","50.890","50.700","","0.14%"
"07/25/2024","50.590","50.655","50.870","50.630","","0.22%"
"07/24/2024","50.480","50.540","50.810","50.490","","0.20%"
"07/23/2024","50.380","50.755","50.780","50.500","","-0.40%"
"07/22/2024","50.580","50.780","50.900","50.665","","-0.04%"
"07/19/2024","50.600","50.665","50.870","50.460","","0.20%"
"07/18/2024","50.500","50.935","50.955","50.650","","-0.53%"
"07/17/2024","50.770","50.790","50.990","50.740","","0.30%"
"07/16/2024","50.620","50.770","50.830","50.660","","0.04%"
"07/15/2024","50.600","50.825","50.900","50.625","","-0.30%"
"07/12/2024","50.750","50.815","50.940","50.625","","0.18%"
"07/11/2024","50.660","50.645","51.020","50.610","","0.36%"
"07/10/2024","50.480","50.565","51.175","50.550","","0.18%"
"07/09/2024","50.390","50.635","51.045","50.525","","-0.10%"
"07/08/2024","50.440","50.640","51.080","50.065","","-0.32%"
"07/05/2024","50.600","51.030","51.120","50.100","","-0.53%"
"07/04/2024","50.870","50.790","51.060","49.755","","0.51%"
"07/03/2024","50.610","50.310","50.930","49.755","","0.92%"
"07/02/2024","50.150","50.190","50.860","49.750","","0.26%"
"07/01/2024","50.020","50.645","51.025","49.735","","-0.75%"
"06/28/2024","50.400","50.200","50.735","49.750","","0.74%"
"06/27/2024","50.030","50.230","50.745","49.750","","-0.06%"
"06/26/2024","50.060","50.280","50.710","49.730","","-0.12%"
