"Date","Price","Open","High","Low","Vol.","Change %"
"07/08/2024","50.690","50.790","51.191","50.330","","-0.20%"
"07/07/2024","50.790","50.790","50.790","50.790","","0.38%"
"07/05/2024","50.600","51.030","51.120","50.100","","-0.53%"
"07/04/2024","50.870","50.790","51.060","49.755","","0.51%"
"07/03/2024","50.610","50.310","50.930","49.755","","0.92%"
"07/02/2024","50.150","50.190","50.860","49.750","","0.26%"
"07/01/2024","50.020","50.645","51.025","49.735","","-0.75%"
"06/28/2024","50.400","50.200","50.735","49.750","","0.74%"
"06/27/2024","50.030","50.230","50.745","49.750","","-0.06%"
"06/26/2024","50.060","50.280","50.710","49.730","","-0.12%"
"06/25/2024","50.120","50.450","50.710","49.735","","-0.32%"
"06/24/2024","50.280","50.060","50.645","49.650","","0.72%"
"06/21/2024","49.920","49.925","50.595","49.660","","0.32%"
"06/20/2024","49.760","50.120","50.575","49.720","","-0.38%"
"06/19/2024","49.950","50.125","50.565","49.720","","0.00%"
"06/18/2024","49.950","50.570","50.605","49.695","","-0.91%"
"06/17/2024","50.410","50.030","50.590","49.585","","1.10%"
"06/14/2024","49.860","50.080","50.405","49.525","","-0.10%"
"06/13/2024","49.910","50.370","50.460","49.700","","-0.58%"
"06/12/2024","50.200","49.965","50.575","49.610","","0.80%"
"06/11/2024","49.800","50.165","50.230","49.720","","-0.38%"
"06/10/2024","49.990","49.440","50.235","49.210","","1.42%"
"06/07/2024","49.290","49.875","50.500","49.450","","-0.82%"
"06/06/2024","49.700","50.355","50.480","49.650","","-0.96%"
"06/05/2024","50.180","50.190","50.465","49.625","","0.32%"
"06/04/2024","50.020","50.465","50.525","49.585","","-0.54%"
"06/03/2024","50.290","49.990","50.470","49.695","","1.02%"
"05/31/2024","49.780","50.090","50.310","49.340","","-0.28%"
"05/30/2024","49.920","49.755","50.200","49.240","","0.69%"
"05/29/2024","49.580","49.965","50.250","49.475","","-0.42%"
"05/28/2024","49.790","50.070","50.270","49.605","","-0.22%"
"05/27/2024","49.900","50.010","50.375","49.480","","0.18%"
"05/24/2024","49.810","49.865","50.220","49.665","","0.22%"
"05/23/2024","49.700","49.960","50.260","49.630","","-0.18%"
"05/22/2024","49.790","50.080","50.165","49.650","","-0.24%"
"05/21/2024","49.910","49.885","50.180","49.630","","0.40%"
"05/20/2024","49.710","49.830","50.210","49.670","","0.04%"
"05/17/2024","49.690","49.930","50.060","49.660","","-0.48%"
"05/16/2024","49.930","50.040","50.240","49.740","","-0.22%"
"05/15/2024","50.040","49.860","50.050","49.650","","0.36%"
"05/14/2024","49.860","49.750","49.960","49.650","","0.59%"
"05/13/2024","49.570","49.740","49.935","49.615","","0.02%"
"05/10/2024","49.560","49.790","49.900","49.650","","-0.46%"
"05/09/2024","49.790","49.670","49.850","49.540","","0.24%"
"05/08/2024","49.670","49.660","49.840","49.580","","0.32%"
"05/07/2024","49.510","49.865","49.930","49.605","","-0.36%"
"05/06/2024","49.690","49.760","49.965","49.605","","-0.16%"
"05/03/2024","49.770","49.740","49.990","49.610","","0.46%"
"05/02/2024","49.540","49.670","49.770","49.475","","0.08%"
"05/01/2024","49.500","49.455","49.770","49.380","","0.43%"
"04/30/2024","49.290","49.680","49.785","49.445","","-0.42%"
"04/29/2024","49.500","49.570","49.800","49.525","","0.20%"
"04/26/2024","49.400","49.830","49.845","49.470","","-0.50%"
"04/25/2024","49.650","49.675","49.865","49.575","","0.28%"
"04/24/2024","49.510","49.800","50.005","49.495","","-0.24%"
"04/23/2024","49.630","49.580","49.855","49.510","","0.47%"
"04/22/2024","49.400","49.580","49.655","49.425","","-0.02%"
"04/19/2024","49.410","49.510","49.735","49.345","","0.14%"
"04/18/2024","49.340","49.680","49.825","49.495","","-0.34%"
"04/17/2024","49.510","49.590","49.720","49.240","","0.18%"
"04/16/2024","49.420","50.730","50.755","49.280","","-2.25%"
"04/15/2024","50.560","49.370","50.910","49.200","","2.70%"
"04/12/2024","49.230","49.465","49.760","49.295","","-0.14%"
"04/11/2024","49.300","49.545","49.610","49.335","","-0.14%"
"04/10/2024","49.370","50.105","50.300","49.475","","-1.12%"
"04/09/2024","49.930","50.115","50.240","50.060","","-0.02%"
"04/08/2024","49.940","50.235","50.240","49.935","","-0.20%"
"04/05/2024","50.040","50.180","50.260","49.910","","0.06%"
"04/04/2024","50.010","50.210","50.360","49.970","","-0.10%"
"04/03/2024","50.060","50.040","50.230","49.885","","0.40%"
"04/02/2024","49.860","49.850","50.070","49.780","","0.34%"
"04/01/2024","49.690","50.035","50.260","49.690","","-0.40%"
"03/29/2024","49.890","50.030","50.245","49.755","","0.06%"
"03/28/2024","49.860","50.125","50.330","49.945","","-0.18%"
"03/27/2024","49.950","50.175","50.310","49.915","","-0.10%"
"03/26/2024","50.000","50.230","50.300","49.630","","-0.12%"
"03/25/2024","50.060","50.060","50.260","49.700","","0.34%"
"03/22/2024","49.890","49.980","50.240","49.585","","0.16%"
"03/21/2024","49.810","50.345","50.450","49.860","","-0.72%"
"03/20/2024","50.170","50.070","50.360","49.825","","0.52%"
"03/19/2024","49.910","49.985","50.115","49.755","","0.20%"
"03/18/2024","49.810","50.085","50.145","49.830","","-0.18%"
"03/15/2024","49.900","49.820","50.190","49.680","","0.50%"
"03/14/2024","49.650","50.030","50.220","49.810","","-0.40%"
"03/13/2024","49.850","50.015","50.175","49.895","","0.12%"
"03/12/2024","49.790","50.015","50.100","49.910","","-0.14%"
"03/11/2024","49.860","50.070","50.130","49.955","","-0.02%"
"03/08/2024","49.870","50.085","50.240","49.955","","-0.08%"
"03/07/2024","49.910","49.920","50.100","49.650","","0.30%"
"03/06/2024","49.760","49.745","50.005","49.545","","0.40%"
"03/05/2024","49.560","49.785","49.830","49.535","","-0.10%"
"03/04/2024","49.610","49.650","49.840","49.515","","0.30%"
"03/01/2024","49.460","49.425","49.655","49.350","","0.41%"
"02/29/2024","49.260","48.490","49.670","48.450","","1.92%"
"02/28/2024","48.330","49.570","49.625","48.410","","-2.19%"
"02/27/2024","49.410","49.580","49.670","49.465","","-0.02%"
"02/26/2024","49.420","49.390","49.640","49.305","","0.47%"
"02/23/2024","49.190","49.540","49.585","49.335","","-0.36%"
"02/22/2024","49.370","49.505","49.840","49.440","","0.04%"
"02/21/2024","49.350","49.495","49.550","49.295","","0.06%"
"02/20/2024","49.320","49.185","49.645","48.975","","0.63%"
"02/19/2024","49.010","50.650","50.865","48.885","","-2.70%"
"02/16/2024","50.370","49.190","50.705","48.820","","2.73%"
"02/15/2024","49.030","50.255","50.305","48.675","","-1.92%"
"02/14/2024","49.990","49.530","50.295","48.400","","1.50%"
"02/13/2024","49.250","48.865","50.305","48.330","","1.13%"
"02/12/2024","48.700","48.935","49.980","48.625","","-0.16%"
"02/09/2024","48.780","49.850","49.855","48.135","","-1.59%"
"02/08/2024","49.570","48.935","49.875","48.440","","1.64%"
"02/07/2024","48.770","49.740","49.800","48.350","","-1.42%"
"02/06/2024","49.470","48.690","49.755","48.315","","1.96%"
"02/05/2024","48.520","49.715","49.725","48.060","","-1.86%"
"02/02/2024","49.440","48.875","50.240","48.385","","1.52%"
"02/01/2024","48.700","48.610","48.890","48.455","","0.50%"
"01/31/2024","48.460","48.640","49.055","48.040","","-0.02%"
"01/30/2024","48.470","49.695","49.745","47.980","","-2.20%"
"01/29/2024","49.560","49.570","49.805","48.000","","0.36%"
"01/26/2024","49.380","48.260","49.745","47.850","","2.64%"
"01/25/2024","48.110","48.450","48.530","48.170","","-0.35%"
"01/24/2024","48.280","48.140","48.895","47.720","","0.67%"
"01/23/2024","47.960","48.255","48.400","47.990","","-0.25%"
"01/22/2024","48.080","48.200","48.945","48.190","","0.02%"
"01/19/2024","48.070","48.220","48.885","48.085","","0.04%"
"01/18/2024","48.050","48.260","49.845","48.090","","-0.08%"
"01/17/2024","48.090","49.425","49.475","47.955","","-2.26%"
"01/16/2024","49.200","49.770","49.775","49.365","","-0.69%"
"01/15/2024","49.540","48.410","49.890","48.320","","2.74%"
"01/12/2024","48.220","49.820","49.875","48.320","","-2.74%"
"01/11/2024","49.580","48.490","49.865","48.305","","2.61%"
"01/10/2024","48.320","49.410","49.435","48.165","","-1.75%"
"01/09/2024","49.180","49.230","49.510","48.280","","0.49%"
"01/08/2024","48.940","48.985","49.350","48.120","","0.51%"
"01/05/2024","48.690","48.990","49.220","48.110","","-0.02%"
"01/04/2024","48.700","48.175","49.105","48.050","","1.44%"
